tag,country,province,lat,lng
355,Congo (Kinshasa),Haut-Katanga,-11.68,27.48
356,Mexico,Chihuahua,31.6904,-106.49
360,Portugal,Porto,41.15,-8.62
362,Zambia,Lusaka,-15.4166,28.2833
364,Iraq,Nīnawá,36.345,43.145
365,Russia,Sverdlovskaya Oblast’,56.85,60.6
367,Burma,Mandalay,21.97,96.085
368,India,Jharkhand,22.7875,86.1975
369,Congo (Kinshasa),Kasaï Oriental,-6.15,23.6
371,Turkey,Adana,36.995,35.32
372,United Kingdom,Sheffield,53.3667,-1.5
374,Costa Rica,San José,9.935,-84.0841
375,Panama,Panamá,8.968,-79.533
376,Russia,Nizhegorodskaya Oblast’,56.333,44.0001
379,Germany,Bavaria,48.1299,11.575
381,Sweden,Stockholm,59.3508,18.0973
382,Indonesia,Sulawesi Selatan,-5.14,119.432
386,Switzerland,Genève,46.21,6.14
387,Iran,Fārs,29.63,52.57
393,Spain,Andalusia,37.405,-5.98
396,Brazil,Amapá,3.2167,-51.2167
397,Kazakhstan,Almaty,43.325,76.915
398,US,Rhode Island,41.823,-71.4187
400,Argentina,Santa Fe,-32.9511,-60.6663
402,Nigeria,Edo,6.3405,5.62
404,Brazil,Alagoas,-9.62,-35.73
405,Bulgaria,Sofia-Grad,42.6833,23.3167
407,Libya,Banghāzī,32.1167,20.0667
409,Czechia,"Praha, Hlavní Město",50.0833,14.466
410,United Kingdom,Glasgow City,55.8744,-4.2507
415,Australia,South Australia,-34.935,138.6
417,Mexico,Coahuila de Zaragoza,25.5701,-103.42
418,India,Jammu and Kashmīr,34.1,74.815
420,Russia,Samarskaya Oblast’,53.195,50.1513
421,Russia,Omskaya Oblast’,54.99,73.4
426,Philippines,Cagayan de Oro,8.4508,124.6853
427,Vietnam,Cần Thơ,10.05,105.77
428,Venezuela,Lara,10.05,-69.3
429,Finland,Uusimaa,60.1756,24.9341
430,Russia,Tatarstan,55.7499,49.1263
432,Canada,Alberta,51.083,-114.08
434,Switzerland,Zürich,47.38,8.55
437,United Arab Emirates,Ash Shāriqah,25.3714,55.4065
438,Armenia,Yerevan,40.1812,44.5136
439,Somalia,Banaadir,2.0667,45.3667
440,Georgia,Tbilisi,41.725,44.7908
442,Angola,Huambo,-12.75,15.76
443,Nigeria,Ondo,7.5304,5.76
444,Serbia,Beograd,44.8186,20.468
445,US,Utah,40.7774,-111.93
446,India,Chhattīsgarh,21.2167,81.4333
448,Russia,Chelyabinskaya Oblast’,55.155,61.4387
449,Brazil,Rio Grande do Norte,-5.78,-35.24
450,Tajikistan,Dushanbe,38.56,68.7739
451,Denmark,Hovedstaden,55.6786,12.5635
452,"Korea, South",Gyeongnam,35.2191,128.5836
454,"Korea, South",Gyeonggi,37.2578,127.0109
455,US,Tennessee,36.1715,-86.7843
459,"Korea, South",Ulsan,35.5467,129.317
463,Ireland,Dublin,53.3331,-6.2489
466,Russia,Rostovskaya Oblast’,47.2346,39.7127
467,Ukraine,Dnipropetrovs’ka Oblast’,48.48,35.0
468,Mainland China,Qinghai,36.62,101.77
470,France,Hauts-de-France,50.65,3.08
472,Turkey,Gaziantep,37.075,37.385
473,Liberia,Montserrado,6.3106,-10.8048
474,Brazil,Maranhão,-2.516,-44.266000000000005
475,Netherlands,Noord-Holland,52.35,4.9166
477,US,Louisiana,30.0687,-89.9288
478,Guatemala,Guatemala,14.6211,-90.527
480,Brazil,Santa Catarina,-27.58,-48.52
481,South Africa,Eastern Cape,-33.97,25.6
483,Nigeria,Rivers,4.81,7.01
485,Russia,Bashkortostan,54.79,56.04
488,US,Kentucky,38.1663,-85.6485
489,Israel,Haifa,32.8204,34.98
490,Saudi Arabia,Al Madīnah al Munawwarah,24.5,39.58
491,Colombia,Santander,7.1301,-73.1259
492,Venezuela,Aragua,10.2469,-67.5958
494,Syria,Ḩimş,34.73,36.72
497,Morocco,Fès-Meknès,34.0546,-5.0004
498,Chad,Ville de N’Djaména,12.1131,15.0491
499,Honduras,Francisco Morazán,14.102,-87.2175
500,Jamaica,Kingston,17.9771,-76.7674
501,Burma,Nay Pyi Taw,19.7666,96.1186
502,Djibouti,Djibouti,11.595,43.148
503,Nicaragua,Managua,12.152999999999999,-86.2685
504,Niger,Niamey,13.5167,2.1167
505,Albania,Tiranë,41.3275,19.8189
506,Nepal,Bāgmatī,27.7167,85.3166
507,Mongolia,Ulaanbaatar,47.9167,106.9166
508,Rwanda,Kigali,-1.9536,30.0605
509,Kyrgyzstan,Bishkek,42.8731,74.5852
510,Norway,Oslo,59.9167,10.75
511,Central African Republic,Bangui,4.3666,18.5583
512,Sierra Leone,Western Area,8.47,-13.2342
513,Pakistan,Islāmābād,33.7,73.1666
515,Laos,Viangchan,17.9667,102.6
516,Latvia,Rīga,56.95,24.1
518,Oman,Masqaţ,23.6133,58.5933
520,Croatia,"Zagreb, Grad",45.8,16.0
521,Bosnia And Herzegovina,"Bosnia and Herzegovina, Federation of",43.85,18.383
522,Moldova,Chişinău,47.005,28.8577
523,Malawi,Lilongwe,-13.9833,33.7833
524,Eritrea,Ma’ākel,15.3333,38.9333
525,United Arab Emirates,Abū Z̧aby,24.4667,54.3666
526,Mauritius,Port Louis,-20.1666,57.5
527,Gabon,Estuaire,0.3854,9.458
529,Lithuania,Vilniaus Miestas,54.6834,25.3166
530,Macedonia,Skopje,42.0,21.4335
531,South Africa,Free State,-29.12,26.2299
532,Slovakia,Bratislavský,48.15,17.117
533,Guinea-Bissau,Bissau,11.865,-15.5984
534,Estonia,Harjumaa,59.4339,24.728
535,New Zealand,Wellington,-41.3,174.7833
536,Malta,Valletta,35.8997,14.5147
537,Lesotho,Maseru,-29.3167,27.4833
538,Kazakhstan,Astana,51.1811,71.4278
539,Burundi,Bujumbura Mairie,-3.3761,29.36
540,Australia,Australian Capital Territory,-35.283,149.129
542,Slovenia,Ljubljana,46.0553,14.515
543,Benin,Ouémé,6.4833,2.6166
544,Brunei,Brunei and Muara,4.8833,114.9333
545,Trinidad And Tobago,Port of Spain,10.652000000000001,-61.516999999999996
546,Papua New Guinea,National Capital,-9.4647,147.1925
547,Switzerland,Bern,46.9167,7.4670000000000005
548,Namibia,Khomas,-22.57,17.0835
549,Guyana,Demerara-Mahaica,6.8020000000000005,-58.167
550,Suriname,Paramaribo,5.835,-55.167
551,Timor-Leste,Díli,-8.5594,125.5795
553,Bolivia,Chuquisaca,-19.041,-65.2595
554,Cyprus,Lefkosía,35.1667,33.3666
555,Tanzania,Dodoma,-6.1833,35.75
556,Sri Lanka,Western,6.932,79.8578
557,Botswana,Gaborone,-24.6463,25.9119
558,Côte D’Ivoire,Yamoussoukro,6.8184,-5.2755
559,Barbados,Saint Michael,13.102,-59.6165
560,Fiji,Rewa,-18.133,178.4417
561,Iceland,Höfuðborgarsvæði,64.15,-21.95
562,Equatorial Guinea,Bioko Norte,3.75,8.7833
564,Montenegro,Podgorica,42.466,19.2663
565,Comoros,Grande Comore,-11.7042,43.2402
567,Cabo Verde,Praia,14.9167,-23.5167
568,Maldives,Maale,4.1667,73.4999
569,South Sudan,Central Equatoria,4.83,31.58
570,Luxembourg,Luxembourg,49.6117,6.13
571,Bhutan,Thimphu,27.473000000000003,89.639
572,Swaziland,Hhohho,-26.3167,31.1333
573,Sao Tome And Principe,São Tomé,0.3334,6.7333
574,Solomon Islands,Honiara,-9.437999999999999,159.9498
576,Samoa,Tuamasaga,-13.8415,-171.7386
577,Andorra,Andorra la Vella,42.5,1.5165
578,Saint Vincent And The Grenadines,Saint George,13.1483,-61.2121
579,Vanuatu,Shefa,-17.7334,168.3166
580,"Gambia, The",Banjul,13.4539,-16.5917
581,Tonga,Tongatapu,-21.1385,-175.2206
582,Saint Lucia,Castries,14.002,-61.0
584,Liechtenstein,Vaduz,47.1337,9.5167
585,Antigua And Barbuda,Saint John,17.118,-61.85
588,San Marino,San Marino Città,43.9172,12.4667
590,Marshall Islands,Majuro,7.103,171.38
592,Saint Kitts And Nevis,Saint George Basseterre,17.302,-62.717
593,Belize,Cayo,17.252,-88.7671
596,Tuvalu,Funafuti,-8.5167,179.2166
597,"Micronesia, Federated States Of",Pohnpei,6.9166,158.15
602,Burundi,Gitega,-3.4271,29.9246
603,Kosovo,Prishtinë,42.6666,21.1724
604,Palau,Melekeok,7.5,134.6242
605,Yemen,‘Adan,12.7797,45.0095
606,Bolivia,Cochabamba,-17.41,-66.17
609,Vietnam,Quảng Nam,16.06,108.25
611,Russia,Permskiy Kray,58.0,56.25
612,Iran,Khūzestān,31.28,48.72
614,Mexico,San Luis Potosí,22.17,-101.0
615,Ukraine,Odes’ka Oblast’,46.49,30.71
616,Mainland China,Ningxia,38.468,106.273
619,Ukraine,Donets’ka Oblast’,48.0,37.83
621,Iraq,Dahūk,36.8667,43.0
622,Russia,Volgogradskaya Oblast’,48.71,44.5
623,India,Assam,26.16,91.77
627,India,Chandīgarh,30.72,76.78
629,Japan,Shizuoka,34.7181,137.7327
630,Iran,Qom,34.65,50.95
632,Mexico,Yucatán,20.9666,-89.6166
634,Mexico,Querétaro,20.63,-100.38
636,Brazil,Paraíba,-7.1011,-34.8761
637,Malaysia,Selangor,3.0204,101.55
639,US,Oklahoma,35.4676,-97.5137
645,Philippines,General Santos,6.1108,125.1747
646,Vietnam,Thừa Thiên-Huế,16.47,107.58
647,Philippines,Bacolod,10.6317,122.9817
651,US,Connecticut,41.1918,-73.1953
654,Iraq,Arbīl,36.179,44.0086
655,Russia,Krasnoyarskiy Kray,56.013999999999996,92.866
657,Belgium,Flanders,51.2204,4.415
658,Turkey,Konya,37.875,32.475
663,Brazil,Piauí,-5.095,-42.78
664,Japan,Okinawa,26.2072,127.67299999999999
668,Nigeria,Abia,5.1004,7.35
669,Nigeria,Borno,11.85,13.16
670,Jordan,Az Zarqā’,32.07,36.1
671,Turkey,Mersin,36.9204,34.88
673,Argentina,Mendoza,-32.8833,-68.8166
675,Chile,Biobío,-36.83,-73.05
678,Colombia,Bolívar,10.3997,-75.5144
682,Kenya,Mombasa,-4.04,39.6899
683,United Kingdom,Newcastle upon Tyne,55.0004,-1.6
685,Peru,Callao,-12.07,-77.135
686,Spain,Basque Country,43.25,-2.93
687,Malaysia,Johor,1.48,103.73
693,Morocco,Marrakech-Safi,31.63,-8.0
696,Iraq,Al Başrah,30.5135,47.8136
697,Mexico,Aguascalientes,21.8795,-102.2904
699,Japan,Okayama,34.672,133.9171
702,Indonesia,Lampung,-5.43,105.27
704,Italy,Sicilia,38.125,13.35
705,United Kingdom,Cardiff,51.5,-3.225
706,Mexico,Tamaulipas,22.3,-97.87
708,Indonesia,Sumatera Barat,-0.96,100.36
711,Chile,Valparaíso,-33.0478,-71.62100000000001
715,France,Occitanie,43.62,1.4499
718,India,Odisha,20.2704,85.8274
719,Russia,Voronezhskaya Oblast’,51.73,39.27
720,Russia,Saratovskaya Oblast’,51.58,46.03
723,Mexico,Morelos,18.9211,-99.24
725,US,Hawaii,21.3294,-157.846
726,Nigeria,Delta,5.52,5.76
727,Switzerland,Basel-Stadt,47.5804,7.59
728,Argentina,Tucumán,-26.816,-65.2166
729,Iran,Kermānshāh,34.38,47.06
730,Greece,Kentrikí Makedonía,40.6961,22.885
731,US,Nebraska,41.2628,-96.0498
733,Portugal,Braga,41.555,-8.4213
736,United Kingdom,Nottingham,52.9703,-1.17
737,Morocco,Souss-Massa,30.44,-9.62
740,Nigeria,Plateau,9.93,8.89
742,Philippines,Cebu,10.32,123.9001
743,Peru,Arequipa,-16.42,-71.53
744,United Kingdom,Liverpool,53.416000000000004,-2.918
747,Bangladesh,Rājshāhi,24.375,88.605
749,Mexico,Sinaloa,24.83,-107.38
750,Spain,Valencia,39.485,-0.4
752,Brazil,Mato Grosso,-15.5696,-56.085
753,Vietnam,Bình Định,13.78,109.18
756,Ukraine,L’vivs’ka Oblast’,49.835,24.03
757,France,Nouvelle-Aquitaine,44.85,-0.595
760,Indonesia,Riau,0.565,101.425
761,Algeria,Oran,35.71,-0.62
767,Malaysia,Melaka,2.2064,102.2465
768,Ukraine,Zaporiz’ka Oblast’,47.8573,35.1768
770,Turkey,Antalya,36.89,30.7
771,Yemen,Al Ḩudaydah,14.7979,42.953
772,Brazil,Mato Grosso do Sul,-20.45,-54.6166
777,"Korea, South",Chungbuk,36.6439,127.5012
778,Philippines,Zamboanga,6.92,122.08
